reaction_name,mw_reactants,mw_product,solvent,waste_mass,yield,e_factor,atom_economy,sustainability_score
Oxidation,257.59,136.7,Ethanol,113.44,60.95,1.135,76.87,42.37
Friedel-Crafts,192.48,147.86,DMSO,80.06,74.73,0.484,32.29,38.15
Oxidation,148.34,87.25,Water,77.88,58.75,1.125,62.66,40.69
Esterification,163.32,115.46,Ethanol,64.22,85.04,0.767,89.41,64.1
Oxidation,142.89,73.74,DMF,122.09,57.75,1.53,51.42,26.15
Oxidation,289.74,184.14,Ethanol,124.94,64.04,0.86,65.23,45.62
Suzuki Coupling,351.73,173.23,Ethyl Acetate,186.53,54.29,1.01,40.77,30.6
Friedel-Crafts,229.93,99.18,Ethyl Acetate,140.89,52.62,1.443,53.53,36.92
Esterification,210.52,162.14,Toluene,88.56,84.85,0.531,79.44,50.37
Reduction,161.72,123.01,DMF,73.53,75.38,0.591,77.99,44.09
Amidation,289.1,223.08,Acetone,72.69,76.37,0.375,61.24,51.25
Oxidation,169.64,123.8,Ethanol,55.81,77.28,0.569,45.51,45.11
Suzuki Coupling,316.77,244.17,Water,83.5,84.5,0.304,77.8,63.4
Friedel-Crafts,142.36,67.08,DMF,131.71,52.32,1.518,51.0,20.04
Amidation,318.16,185.11,DMSO,176.78,68.26,0.994,70.55,45.32
Friedel-Crafts,179.8,119.08,Ethanol,72.38,76.75,0.578,31.79,35.02
Esterification,158.99,134.69,Water,44.36,88.25,0.448,79.13,63.32
Suzuki Coupling,308.31,248.42,Toluene,92.03,80.4,0.297,55.75,42.64
Esterification,174.49,125.22,DMSO,89.97,79.97,0.666,75.94,48.54
Esterification,150.66,94.74,Acetone,78.87,68.6,1.182,87.82,53.09
Amidation,250.42,220.93,DMF,76.98,87.58,0.308,75.37,48.49
Reduction,255.36,147.22,DMSO,146.04,63.42,0.774,77.83,39.68
Amidation,269.41,182.27,Acetone,115.47,82.25,0.637,67.7,54.62
Nitration,207.13,139.38,Ethyl Acetate,91.97,68.7,0.526,68.19,52.26
Amidation,200.81,129.88,Water,84.27,66.12,0.532,61.06,46.13
Oxidation,119.3,62.07,DMSO,85.44,62.04,1.244,66.77,39.33
Nitration,196.43,126.15,Ethyl Acetate,95.84,75.46,0.864,49.84,39.31
Oxidation,162.22,121.91,Ethyl Acetate,63.49,81.6,0.44,51.57,56.25
Suzuki Coupling,330.54,155.94,Acetone,207.06,54.93,1.33,59.72,33.48
Esterification,130.75,89.06,Acetone,56.99,72.85,0.672,60.53,42.33
Friedel-Crafts,258.99,120.86,DMSO,187.44,54.96,1.524,65.88,24.71
Amidation,254.15,163.85,Toluene,139.77,71.89,0.981,64.76,41.33
Hydrogenation,223.25,187.69,DMSO,71.5,84.64,0.307,82.86,56.07
Oxidation,216.81,116.24,Ethanol,106.71,58.06,1.272,67.85,36.97
Suzuki Coupling,213.15,113.98,Water,96.51,58.86,1.159,37.82,32.81
Suzuki Coupling,219.37,153.39,Ethyl Acetate,79.3,75.13,0.738,43.9,45.38
Oxidation,110.23,68.31,DMSO,77.37,70.25,0.94,62.13,40.73
Amidation,176.07,125.99,Acetone,83.0,76.04,0.903,77.13,49.47
Nitration,99.56,50.69,DMF,74.4,59.23,2.042,46.56,19.07
Suzuki Coupling,277.32,157.55,Toluene,172.93,70.49,1.024,60.38,38.67
Friedel-Crafts,328.21,162.17,DMSO,220.64,53.9,1.484,66.75,28.65
Amidation,281.85,204.06,Acetone,85.14,78.82,0.581,64.06,45.58
Oxidation,141.44,102.55,Water,60.0,76.76,0.554,69.78,57.43
Nitration,170.1,86.66,Ethanol,80.04,62.5,0.713,58.74,47.16
Oxidation,280.49,199.26,Ethanol,78.97,81.41,0.375,63.77,57.19
Hydrogenation,232.16,179.71,DMF,81.33,75.4,0.424,86.08,46.8
Reduction,220.36,182.7,Ethyl Acetate,52.48,81.77,0.285,71.54,58.13
Esterification,203.24,146.16,DMSO,90.81,77.79,0.787,62.82,41.45
Hydrogenation,123.92,105.52,Ethanol,40.87,93.9,0.316,94.64,72.76
Oxidation,250.93,174.32,Toluene,125.03,76.93,0.588,72.4,44.41
Reduction,132.81,104.55,Water,46.61,82.31,0.362,50.88,54.7
Suzuki Coupling,394.8,290.22,Acetone,123.61,70.92,0.521,52.59,43.04
Hydrogenation,112.29,84.92,Ethyl Acetate,37.69,78.58,0.584,88.48,61.8
Reduction,146.45,88.83,Hexane,91.52,66.06,1.417,57.06,27.68
Esterification,224.4,161.32,Hexane,118.33,79.89,0.598,63.32,41.63
Esterification,277.18,228.58,Hexane,91.24,90.87,0.526,62.15,41.12
Suzuki Coupling,373.56,205.61,Toluene,219.04,55.95,0.934,45.89,27.13
Nitration,132.63,108.43,Acetone,32.82,77.76,0.245,67.49,50.74
Oxidation,270.83,148.51,Acetone,148.63,60.38,0.827,59.47,43.2
Reduction,140.96,92.57,Toluene,88.21,67.34,0.943,56.13,41.77
Oxidation,211.95,145.94,Toluene,98.29,68.04,0.529,49.61,37.08
Hydrogenation,125.31,103.74,Toluene,41.65,80.57,0.377,70.81,53.98
Friedel-Crafts,257.01,131.25,Ethyl Acetate,137.59,51.55,1.324,69.54,40.8
Suzuki Coupling,216.03,141.11,Acetone,103.73,62.33,0.889,69.16,44.34
Reduction,213.22,109.28,Ethyl Acetate,116.55,60.07,1.372,87.75,48.71
Nitration,131.08,97.21,DMF,73.33,81.97,0.712,52.53,40.65
Reduction,158.4,89.67,Hexane,113.39,65.32,1.024,75.77,36.89
Nitration,119.32,93.45,DMF,59.66,82.64,0.564,54.09,41.55
Suzuki Coupling,334.18,223.95,Hexane,154.69,73.29,0.915,49.72,33.31
Amidation,255.95,171.82,DMF,143.69,65.45,0.986,67.14,32.46
Amidation,182.28,126.13,Ethanol,60.5,68.19,0.468,65.94,45.17
Nitration,159.31,107.99,Hexane,88.8,64.63,0.74,62.64,35.93
Reduction,256.89,204.32,Ethyl Acetate,63.88,78.31,0.305,66.87,57.28
Oxidation,173.48,109.28,DMF,123.19,62.33,0.983,76.94,37.35
Amidation,221.32,150.84,DMSO,91.53,75.5,0.577,64.73,44.95
Hydrogenation,228.73,194.65,Ethanol,56.7,93.93,0.242,74.53,65.57
Suzuki Coupling,237.03,129.21,DMSO,138.05,64.04,0.997,77.94,40.96
Hydrogenation,101.84,79.63,Hexane,61.25,78.04,1.003,91.35,45.08
Reduction,173.35,130.19,Ethanol,70.13,76.57,0.414,69.03,55.42
Esterification,236.45,204.32,Water,32.87,91.44,0.146,69.55,63.1
Hydrogenation,231.46,214.32,DMSO,50.8,93.07,0.238,81.25,60.27
Hydrogenation,239.44,160.52,Ethanol,76.96,77.11,0.685,74.15,53.99
Nitration,84.53,55.29,DMSO,66.07,74.96,1.001,69.16,44.58
Oxidation,127.62,83.57,DMSO,70.6,66.83,0.735,70.82,48.52
Hydrogenation,127.26,89.09,Acetone,48.46,79.58,0.676,90.29,63.22
Esterification,278.46,185.57,Ethyl Acetate,117.94,71.29,0.494,79.61,47.94
Oxidation,151.95,103.05,Ethanol,63.38,74.68,0.514,55.12,54.62
Oxidation,119.4,80.08,Water,56.99,73.05,0.595,62.02,50.92
Amidation,181.43,137.82,Ethyl Acetate,48.07,77.0,0.498,66.81,50.14
Reduction,214.56,136.27,Hexane,144.77,65.16,1.444,83.83,43.77
Oxidation,147.14,95.43,Toluene,79.8,75.39,1.038,52.49,37.95
Suzuki Coupling,302.53,182.9,DMSO,157.23,62.99,1.044,37.38,26.89
Esterification,135.97,78.23,Hexane,114.8,70.58,1.273,63.46,38.19
Suzuki Coupling,518.94,278.39,Toluene,302.28,51.59,0.917,52.25,23.13
Nitration,144.82,94.36,Hexane,94.91,70.84,1.295,74.04,40.3
Amidation,149.62,121.46,Ethanol,41.5,84.92,0.316,74.5,60.86
Nitration,130.89,84.58,Hexane,92.4,66.56,1.058,56.88,30.15
Friedel-Crafts,223.29,102.92,Acetone,131.81,48.31,1.234,36.64,24.94
Reduction,247.96,189.58,Acetone,91.74,87.83,0.517,72.7,58.45
Friedel-Crafts,141.02,56.73,Toluene,128.33,46.35,1.868,57.22,18.93
Amidation,131.04,99.4,Ethyl Acetate,50.91,83.09,0.594,67.26,54.8
Oxidation,204.35,138.21,DMSO,84.44,71.09,0.578,78.79,48.82
Reduction,113.7,96.93,Acetone,39.99,84.33,0.432,68.31,48.19
Amidation,152.5,115.62,Ethyl Acetate,64.7,83.28,0.783,81.46,60.95
Reduction,222.67,137.95,Ethyl Acetate,86.38,64.9,0.641,75.4,51.48
Friedel-Crafts,170.72,85.35,Ethanol,92.27,51.6,0.912,43.77,39.13
Amidation,253.82,195.55,Water,54.69,85.04,0.274,75.76,61.61
Oxidation,117.68,76.66,Hexane,96.32,76.17,1.045,55.56,36.25
Esterification,144.92,106.4,DMSO,62.56,80.84,0.797,87.47,50.16
Hydrogenation,122.19,102.32,Acetone,46.11,81.29,0.376,96.04,66.98
Reduction,269.53,164.9,DMSO,150.26,63.81,0.71,80.24,47.74
Nitration,139.33,82.26,Ethyl Acetate,61.17,68.04,0.637,53.93,42.36
Amidation,246.32,155.31,Hexane,133.34,65.81,0.851,62.41,35.19
Nitration,110.73,57.01,Hexane,98.51,59.28,1.385,47.07,26.09
Suzuki Coupling,264.6,202.52,DMF,96.89,78.82,0.634,61.56,47.45
Oxidation,289.68,168.28,Ethyl Acetate,129.23,66.35,0.703,71.98,46.33
Amidation,173.44,124.0,Ethyl Acetate,54.78,81.6,0.442,62.73,55.23
Esterification,189.87,164.71,Toluene,36.99,91.88,0.213,74.59,61.6
Suzuki Coupling,216.27,170.54,DMF,65.67,85.33,0.323,55.17,43.6
Suzuki Coupling,337.01,224.11,DMSO,151.56,72.97,0.613,71.82,43.44
Suzuki Coupling,336.03,239.1,Acetone,108.39,79.24,0.395,56.75,49.03
Oxidation,229.1,153.45,Ethanol,98.4,77.42,0.809,76.31,60.74
Oxidation,210.58,153.85,Acetone,72.47,81.48,0.477,71.62,56.01
Oxidation,168.58,82.35,Acetone,105.67,58.82,1.097,64.26,36.76
Esterification,191.72,152.42,DMSO,64.16,87.69,0.45,67.22,46.45
Friedel-Crafts,209.05,104.87,DMSO,132.29,54.55,1.499,35.24,22.77
Esterification,199.67,154.14,Hexane,100.39,83.43,0.523,86.02,49.92
Hydrogenation,103.8,73.07,Ethyl Acetate,50.13,75.35,0.665,82.88,54.8
Friedel-Crafts,189.54,134.16,Water,74.02,72.76,0.621,63.91,53.79
Suzuki Coupling,394.02,291.58,Acetone,112.53,83.8,0.472,49.82,45.58
Suzuki Coupling,328.92,227.38,Hexane,170.17,80.03,0.871,64.3,38.0
Nitration,168.1,132.79,Ethanol,43.42,79.18,0.341,49.76,46.43
Suzuki Coupling,448.25,297.46,Acetone,155.92,77.79,0.503,51.27,38.48
Friedel-Crafts,185.76,105.22,Water,91.76,63.16,0.945,62.4,49.59
Amidation,207.91,152.21,Ethanol,81.17,76.03,0.563,82.13,59.86
Amidation,176.72,138.08,Hexane,64.56,81.79,0.576,79.13,52.28
Amidation,281.25,218.01,Acetone,75.89,85.87,0.446,80.48,58.15
Reduction,136.57,100.52,Ethyl Acetate,57.21,85.4,0.487,65.17,59.94
Oxidation,271.69,220.06,Hexane,85.55,80.45,0.363,52.97,39.94
Reduction,239.46,215.55,Ethanol,40.26,88.16,0.163,77.68,66.85
Amidation,184.69,117.22,DMF,112.43,67.71,1.024,64.67,33.89
Friedel-Crafts,194.28,120.48,Hexane,133.46,70.78,0.868,57.12,35.74
Nitration,207.94,149.73,Hexane,85.84,67.15,0.605,63.06,36.44
Esterification,246.05,171.76,Acetone,102.4,77.19,0.661,89.4,60.83
Hydrogenation,231.03,160.58,DMF,112.9,75.54,0.959,75.94,44.95
Nitration,84.02,55.22,DMSO,45.68,68.31,0.678,73.19,44.4
Hydrogenation,180.32,136.64,Ethanol,69.69,92.14,0.453,76.63,64.69
Hydrogenation,180.37,137.16,DMF,93.57,85.47,0.575,82.14,45.06
Friedel-Crafts,171.03,120.71,Toluene,69.44,79.03,0.696,66.12,49.07
Amidation,143.55,125.08,Water,34.74,87.77,0.238,60.07,60.83
Oxidation,231.31,146.38,Hexane,135.15,70.66,1.151,69.95,34.62
Nitration,99.96,59.7,Acetone,70.96,64.41,1.592,69.79,44.03
Amidation,171.16,128.87,Acetone,55.98,80.84,0.421,83.47,64.41
Oxidation,228.47,126.9,Toluene,125.11,59.05,1.018,69.27,36.34
Oxidation,152.25,100.38,Water,60.39,68.23,0.602,71.0,57.3
Suzuki Coupling,357.38,221.73,Hexane,202.96,69.03,0.926,60.89,29.87
Hydrogenation,169.61,145.57,Ethyl Acetate,30.3,96.17,0.297,82.17,69.3
Hydrogenation,214.69,163.52,DMSO,67.31,75.71,0.383,85.39,55.47
Oxidation,188.33,138.66,DMF,96.69,77.79,0.576,53.07,32.65
Nitration,117.3,75.99,Ethanol,68.41,64.51,0.886,50.67,41.37
Suzuki Coupling,498.54,249.81,DMSO,293.62,57.34,0.91,57.73,27.64
Friedel-Crafts,315.66,164.86,Hexane,222.25,54.42,1.246,42.83,18.12
Suzuki Coupling,306.74,194.22,DMF,163.63,61.9,1.007,40.47,24.17
Friedel-Crafts,144.65,73.34,Toluene,90.01,56.07,1.674,37.08,20.8
Nitration,190.34,111.58,Water,73.03,62.04,0.554,62.02,49.35
Amidation,163.93,125.08,Water,54.11,85.79,0.381,73.39,59.99
Friedel-Crafts,248.69,128.9,Hexane,164.02,55.51,1.396,49.09,20.83
Hydrogenation,164.66,145.68,Water,38.53,89.17,0.347,86.48,67.59
Reduction,140.43,75.19,Toluene,86.87,61.28,0.967,58.5,33.28
Oxidation,286.62,129.96,Ethanol,166.1,55.54,0.997,77.37,46.66
Amidation,234.56,154.88,Hexane,126.35,66.8,0.782,81.79,40.31
Suzuki Coupling,224.01,164.77,DMF,92.0,76.27,0.436,71.51,41.95
Esterification,147.97,103.2,Acetone,56.23,73.27,0.448,73.92,53.0
Amidation,175.92,135.22,DMSO,82.86,79.23,0.775,83.95,47.78
Suzuki Coupling,308.72,146.11,DMF,222.07,52.56,1.259,55.44,24.07
Hydrogenation,165.89,157.32,DMSO,31.07,95.97,0.252,87.57,63.96
Amidation,139.0,90.49,DMF,86.45,71.59,1.101,61.91,36.93
Suzuki Coupling,319.59,210.67,Toluene,146.76,73.45,0.744,39.67,31.31
Esterification,204.87,153.84,Ethyl Acetate,65.24,82.24,0.558,60.65,54.37
Nitration,82.89,60.7,Hexane,60.02,73.64,0.786,67.21,46.33
Suzuki Coupling,342.38,233.09,Water,97.56,69.69,0.431,41.31,47.85
Reduction,183.76,165.9,Acetone,30.84,89.34,0.185,68.05,57.73
Reduction,267.07,188.27,Ethyl Acetate,104.11,75.07,0.571,86.9,60.33
Oxidation,184.08,116.02,DMSO,81.39,70.92,0.75,79.18,50.04
Suzuki Coupling,258.02,178.64,DMF,132.36,74.29,0.756,46.33,28.92
Esterification,211.51,128.44,DMSO,113.21,73.13,1.138,87.0,57.36
Suzuki Coupling,241.84,177.09,DMF,113.95,79.05,0.497,75.29,51.29
Reduction,191.05,126.9,Ethanol,87.28,76.0,0.801,56.76,47.86
Friedel-Crafts,192.85,90.98,Water,100.5,54.59,1.186,31.31,25.49
Hydrogenation,105.25,81.33,Acetone,56.78,75.55,0.696,75.46,51.96
Friedel-Crafts,310.27,206.46,Acetone,131.81,71.77,0.539,63.77,49.38
Esterification,135.09,114.88,Hexane,34.12,91.86,0.256,83.1,54.89
Nitration,191.39,100.61,Toluene,125.61,60.54,1.453,51.11,30.78
Nitration,194.32,117.17,Ethyl Acetate,92.36,65.03,0.829,71.49,48.55
Hydrogenation,115.81,95.84,Toluene,37.57,82.74,0.306,85.28,56.0
Oxidation,269.25,162.33,Hexane,168.27,59.26,1.208,63.43,28.27
Friedel-Crafts,264.05,178.44,Water,78.74,70.24,0.438,32.35,41.76
Esterification,138.99,115.33,DMF,57.86,90.49,0.444,86.84,54.41
Oxidation,129.79,105.96,Ethanol,50.85,84.99,0.638,60.94,63.24
Reduction,270.29,167.45,Hexane,147.6,69.44,0.711,63.5,35.89
Oxidation,122.76,71.29,DMF,74.11,56.16,0.819,67.88,29.08
Oxidation,135.93,80.42,Hexane,81.03,64.6,1.094,57.89,31.68
Suzuki Coupling,263.03,141.01,Ethyl Acetate,135.88,59.43,0.828,61.96,42.17
Hydrogenation,254.25,191.01,Toluene,93.28,86.48,0.436,94.56,62.67
Nitration,92.06,62.61,Ethyl Acetate,53.35,72.61,0.697,46.18,44.17
Friedel-Crafts,306.01,216.65,Toluene,115.97,74.49,0.44,64.76,45.0
Oxidation,145.74,79.91,Ethyl Acetate,92.59,65.17,1.0,69.63,44.51
Hydrogenation,255.25,212.62,Acetone,48.82,90.58,0.202,86.48,63.97
Friedel-Crafts,300.49,222.96,Water,81.27,78.21,0.407,60.26,55.95
Reduction,205.66,160.73,Ethyl Acetate,52.59,86.94,0.359,87.81,68.22
Hydrogenation,219.89,164.32,Ethanol,65.41,85.92,0.532,94.82,68.19
Oxidation,149.7,80.92,Hexane,110.62,60.94,1.143,65.08,32.62
Suzuki Coupling,420.72,301.64,Ethyl Acetate,122.73,81.26,0.549,50.89,51.73
Friedel-Crafts,299.22,118.62,Acetone,186.31,47.32,2.141,64.5,28.13
Suzuki Coupling,375.45,243.01,Ethanol,150.4,65.34,0.783,69.21,50.04
Friedel-Crafts,245.08,168.32,Water,80.18,76.02,0.518,56.61,51.52
Hydrogenation,145.57,98.08,Ethyl Acetate,74.73,81.72,0.718,76.77,58.21
Oxidation,271.06,144.33,DMF,193.24,62.13,1.036,50.27,29.23
Hydrogenation,102.22,73.07,DMF,65.0,88.03,0.687,90.41,54.88
Oxidation,133.55,95.22,Ethanol,63.1,71.66,0.56,65.88,45.78
Reduction,150.02,111.28,Toluene,64.68,69.89,0.568,85.41,57.05
Hydrogenation,130.24,100.04,Water,34.97,86.61,0.302,71.82,68.43
Amidation,267.88,174.79,Hexane,159.83,66.58,0.808,77.37,34.48
Oxidation,242.48,190.61,Acetone,79.55,83.71,0.321,65.56,56.59
Esterification,206.31,149.11,Ethanol,71.72,79.55,0.458,77.15,58.13
Reduction,213.69,172.82,DMF,61.13,83.71,0.409,73.74,48.33
Friedel-Crafts,289.39,126.26,DMSO,212.25,48.16,1.592,53.69,22.11
Hydrogenation,165.86,141.45,Acetone,30.92,94.01,0.278,89.53,71.53
Amidation,309.39,206.58,Acetone,132.28,76.62,0.689,64.58,47.73
Nitration,94.41,60.29,DMSO,73.49,73.83,0.991,73.65,47.93
Friedel-Crafts,186.58,131.46,Toluene,101.93,73.68,0.648,49.94,36.42
Nitration,202.25,155.03,Water,55.09,82.36,0.461,59.57,51.3
Suzuki Coupling,467.73,223.28,Ethanol,228.91,55.25,0.988,44.75,34.54
Nitration,198.59,124.16,DMF,122.95,61.93,0.924,72.14,36.92
Reduction,98.05,79.93,DMF,29.36,88.74,0.365,72.25,52.01
Esterification,174.35,130.93,Ethyl Acetate,50.93,74.0,0.436,75.83,54.09
Reduction,187.37,141.83,Toluene,58.98,79.31,0.485,86.1,57.34
Nitration,160.3,116.6,Water,51.49,75.64,0.609,66.64,60.52
Oxidation,299.16,164.45,DMF,195.08,55.47,1.107,64.52,28.31
Nitration,95.9,64.95,DMSO,45.96,82.08,1.008,42.86,38.3
Nitration,101.58,71.46,Acetone,54.7,69.73,0.988,55.28,40.21
Suzuki Coupling,228.4,137.84,Hexane,150.25,64.65,1.119,75.53,36.15
Oxidation,137.39,93.02,Water,64.57,73.43,0.583,53.14,44.17
Hydrogenation,136.09,119.56,DMSO,53.46,85.87,0.365,75.33,58.88
Hydrogenation,248.41,199.55,Ethanol,56.27,87.57,0.334,81.41,66.88
Reduction,259.24,186.09,Ethyl Acetate,80.21,78.9,0.361,69.8,53.15
Suzuki Coupling,443.2,322.09,DMF,184.98,70.7,0.487,72.11,42.39
Amidation,318.69,211.07,DMSO,154.47,74.66,0.781,80.79,43.08
Reduction,136.77,104.45,Water,44.26,85.22,0.358,65.07,59.98
Reduction,201.34,134.55,Water,73.06,74.02,0.518,73.34,57.46
Esterification,250.85,211.01,Ethyl Acetate,46.98,85.9,0.212,70.24,60.03
Nitration,111.04,84.94,DMF,53.18,75.46,0.511,50.42,40.66
Oxidation,141.51,111.8,DMSO,60.91,79.59,0.534,46.13,41.09
Suzuki Coupling,427.06,263.3,DMSO,206.85,66.86,0.612,73.38,39.51
